date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:05	30579/30579	U-----	200	untouched ('')	image/jpeg	date:Fri,%2031%20Jan%202014%2006:46:56%20GMT	http://www.julius-berger.com/uploads/pics/1-3_buildings-text_lightbox.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/1-3_buildings-text_lightbox.jpg	(from http://www.julius-berger.com/project-portfolio/buildings/)
09:09:06	4105270/4105270	---M--	200	added ('OK')	application/pdf	etag:%22822038-3ea436-4bffe0c6e5b80%22	http://www.julius-berger.com/fileadmin/media/Docs/Investor_Relations/JBN_AR_2011_web.pdf	C:/My%20Web%20Sites/JB/www.julius-berger.com/fileadmin/media/Docs/Investor_Relations/JBN_AR_2011_web.pdf	(from http://www.julius-berger.com/investor-relations/financial-reporting/)
09:09:07	10827/10827	U--MC-	200	updated ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:08:38%20GMT	http://www.julius-berger.com/project-portfolio/buildings/?type=98	C:/My%20Web%20Sites/JB/www.julius-berger.com/project-portfolio/buildings/index7b0e.html	(from http://www.julius-berger.com/project-portfolio/buildings/)
09:09:10	129580/129580	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:08:22%20GMT	http://www.julius-berger.com/typo3temp/pics/_0002_AEW3.JPG_f5ac25065a.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/typo3temp/pics/_0002_AEW3.JPG_f5ac25065a.jpg	(from http://www.julius-berger.com/on-site/)
09:09:11	28189/28189	U-----	200	untouched ('')	image/jpeg	date:Fri,%2031%20Jan%202014%2006:47:00%20GMT	http://www.julius-berger.com/uploads/tx_templavoila/1-3_industries_landscape.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/tx_templavoila/1-3_industries_landscape.jpg	(from http://www.julius-berger.com/project-portfolio/industries/)
09:09:13	38553/38553	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:08:40%20GMT	http://www.julius-berger.com/typo3temp/pics/AEW_6265_3c084ca851.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/typo3temp/pics/AEW_6265_3c084ca851.jpg	(from http://www.julius-berger.com/on-site/)
09:09:14	40724/40724	U-----	200	untouched ('')	image/jpeg	date:Fri,%2031%20Jan%202014%2006:47:01%20GMT	http://www.julius-berger.com/uploads/pics/1-3_industries-text_lightbox.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/1-3_industries-text_lightbox.jpg	(from http://www.julius-berger.com/project-portfolio/industries/)
09:09:21	38169/38169	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:08:47%20GMT	http://www.julius-berger.com/typo3temp/pics/AEW_Asphalt_Works_4fa2a34da0.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/typo3temp/pics/AEW_Asphalt_Works_4fa2a34da0.jpg	(from http://www.julius-berger.com/on-site/)
09:09:22	10707/10707	U--MC-	200	updated ('OK')	text/html	date:Fri,%2031%20Jan%202014%2008:08:54%20GMT	http://www.julius-berger.com/project-portfolio/industries/?type=98	C:/My%20Web%20Sites/JB/www.julius-berger.com/project-portfolio/industries/index7b0e.html	(from http://www.julius-berger.com/project-portfolio/industries/)
09:09:27	135549/135549	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:08:38%20GMT	http://www.julius-berger.com/typo3temp/pics/_0004_AEW5.JPG_dc8e7fcd78.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/typo3temp/pics/_0004_AEW5.JPG_dc8e7fcd78.jpg	(from http://www.julius-berger.com/on-site/)
09:09:27	20018/20018	U-----	200	untouched ('')	image/jpeg	date:Fri,%2031%20Jan%202014%2006:47:07%20GMT	http://www.julius-berger.com/uploads/tx_templavoila/1-3_FSN_landscape.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/tx_templavoila/1-3_FSN_landscape.jpg	(from http://www.julius-berger.com/project-portfolio/facility-services/)
09:09:33	139462/139462	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Jan%202014%2008:08:43%20GMT	http://www.julius-berger.com/typo3temp/pics/AEW_6265_eab91dd1b2.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/typo3temp/pics/AEW_6265_eab91dd1b2.jpg	(from http://www.julius-berger.com/on-site/)
09:09:34	42386/42386	U-----	200	untouched ('')	image/jpeg	date:Fri,%2031%20Jan%202014%2006:47:08%20GMT	http://www.julius-berger.com/uploads/pics/1-3_FSN-text_lightbox.jpg	C:/My%20Web%20Sites/JB/www.julius-berger.com/uploads/pics/1-3_FSN-text_lightbox.jpg	(from http://www.julius-berger.com/project-portfolio/facility-services/)
